D	 R	 Reg Runtime	Reg Soln	Prun Run	Prun Soln	Decop Run	Decomp Soln	Decomp+Prun	Decomp+Prun Soln
3	 5 	 0.095780	269.400000	0.065977	269.400000	0.040468	269.400000	0.030958	269.400000
3	 6 	 0.200725	370.800000	0.149443	370.800000	0.095367	370.800000	0.086170	370.800000
3	 7 	 0.162169	372.200000	0.124011	372.200000	0.051186	372.200000	0.042465	372.200000
3	 8 	 0.239590	479.400000	0.158602	479.400000	0.085367	479.400000	0.067952	479.400000
3	 9 	 0.298036	660.400000	0.227382	660.400000	0.138828	660.400000	0.116231	660.400000
3	 10 	 0.396810	574.600000	0.273822	574.600000	0.140607	574.600000	0.112857	574.600000
3	 11 	 0.440500	669.200000	0.356209	669.200000	0.152536	669.200000	0.136928	669.200000
3	 12 	 0.437274	879.200000	0.295365	879.200000	0.105277	879.200000	0.084875	879.200000
3	 13 	 0.594337	877.200000	0.484489	877.200000	0.274905	877.200000	0.229635	877.200000
3	 14 	 0.613953	1074.400000	0.467541	1074.400000	0.242961	1074.400000	0.186487	1074.400000
3	 15 	 0.802946	1368.400000	0.571684	1368.400000	0.120949	1368.400000	0.101549	1368.400000
3	 16 	 1.057113	1178.000000	0.769320	1178.000000	0.409819	1178.000000	0.346005	1178.000000
3	 17 	 1.043266	1177.800000	0.720256	1177.800000	0.342389	1177.800000	0.305076	1177.800000
3	 18 	 0.727314	1379.400000	0.469935	1379.400000	0.135360	1379.400000	0.093590	1379.400000
3	 19 	 1.238014	1277.800000	0.752119	1277.800000	0.528401	1277.800000	0.355627	1277.800000
3	 20 	 1.396159	1376.600000	1.085801	1376.600000	0.251694	1376.600000	0.215581	1376.600000
3	 21 	 1.593585	1380.200000	1.161347	1380.200000	0.675716	1380.200000	0.553404	1380.200000
3	 22 	 1.407391	1574.600000	0.946125	1574.600000	0.334959	1574.600000	0.277288	1574.600000
3	 23 	 1.734629	1585.800000	1.132646	1585.800000	0.461500	1585.800000	0.347592	1585.800000
3	 5 	 0.081045	268.400000	0.058053	268.400000	0.023311	268.400000	0.017868	268.400000
3	 6 	 0.159117	366.400000	0.109428	366.400000	0.046874	366.400000	0.034876	366.400000
3	 7 	 0.196588	460.800000	0.142351	460.800000	0.053939	460.800000	0.048104	460.800000
3	 8 	 0.183019	561.400000	0.140812	561.400000	0.070757	561.400000	0.047432	561.400000
3	 9 	 0.290348	580.200000	0.224748	580.200000	0.105071	580.200000	0.092791	580.200000
3	 10 	 0.330660	672.800000	0.292317	672.800000	0.110178	672.800000	0.096151	672.800000
3	 11 	 0.264160	675.400000	0.217177	675.400000	0.094532	675.400000	0.080592	675.400000
3	 12 	 0.614866	778.000000	0.396585	778.000000	0.303386	778.000000	0.235331	778.000000
3	 13 	 0.432279	968.800000	0.307397	968.800000	0.133594	968.800000	0.118677	968.800000
3	 14 	 0.550167	875.600000	0.367667	875.600000	0.238171	875.600000	0.175576	875.600000
3	 15 	 0.955165	881.200000	0.736303	881.200000	0.403215	881.200000	0.345284	881.200000
3	 16 	 1.001727	1177.800000	0.733009	1177.800000	0.274511	1177.800000	0.227895	1177.800000
3	 17 	 0.973719	1181.800000	0.642858	1181.800000	0.369799	1181.800000	0.255137	1181.800000
3	 18 	 1.054953	1373.600000	0.778499	1373.600000	0.330981	1373.600000	0.286401	1373.600000
3	 19 	 1.315618	1375.400000	0.954294	1375.400000	0.395226	1375.400000	0.339782	1375.400000
3	 20 	 1.592083	1477.800000	1.147897	1477.800000	0.522460	1477.800000	0.450774	1477.800000
3	 21 	 1.636396	1676.000000	1.228021	1676.000000	0.866002	1676.000000	0.722046	1676.000000
3	 22 	 1.932708	1767.400000	1.283286	1767.400000	0.520650	1767.400000	0.373426	1767.400000
3	 23 	 1.882758	1776.000000	1.221675	1776.000000	0.550404	1776.000000	0.428552	1776.000000
3	 24 	 2.324103	1770.200000	1.389322	1770.200000	0.859826	1770.200000	0.577538	1770.200000
3	 25 	 3.510728	1882.400000	1.866748	1882.400000	1.990147	1882.400000	0.761138	1882.400000
3	 26 	 2.514869	1881.800000	1.724622	1881.800000	0.851121	1881.800000	0.706237	1881.800000
3	 27 	 2.596740	2068.600000	1.640542	2068.600000	0.991717	2068.600000	0.672808	2068.600000
3	 28 	 2.417672	2181.600000	1.643563	2181.600000	0.683884	2181.600000	0.474019	2181.600000
3	 29 	 4.568438	2085.600000	2.822905	2085.600000	1.197023	2085.600000	0.987432	2085.600000
3	 30 	 3.418102	2471.600000	2.167752	2471.600000	0.960576	2471.600000	0.720228	2471.600000
3	 31 	 3.468400	2578.200000	2.229550	2578.200000	0.706206	2578.200000	0.521965	2578.200000
3	 32 	 2.587401	2577.000000	1.624138	2577.000000	0.507759	2577.000000	0.445529	2577.000000
3	 33 	 4.589410	2484.200000	2.630453	2484.200000	1.693797	2484.200000	0.982019	2484.200000
3	 34 	 4.314930	2588.600000	2.640680	2588.600000	1.204176	2588.600000	0.903459	2588.600000
3	 35 	 8.148782	2587.000000	3.922042	2587.000000	4.256170	2587.000000	1.774242	2587.000000
3	 36 	 5.542625	2684.000000	3.165181	2684.000000	3.212540	2684.000000	1.166205	2684.000000
3	 37 	 7.233776	2974.600000	3.839202	2974.600000	2.802877	2974.600000	1.307740	2974.600000
3	 38 	 4.979229	3178.200000	3.006101	3178.200000	1.140075	3178.200000	0.813384	3178.200000
3	 39 	 22.670314	2986.600000	6.179952	2986.600000	10.662046	2986.600000	3.795782	2986.600000
3	 40 	 8.080263	3283.400000	4.038435	3283.400000	2.498694	3283.400000	1.453247	3283.400000
3	 41 	 9.295067	3179.800000	4.692086	3179.800000	4.534377	3179.800000	1.843008	3179.800000
3	 42 	 6.040055	3679.400000	4.096862	3679.400000	0.676841	3679.400000	0.479150	3679.400000
3	 43 	 7.897226	3385.200000	4.418727	3385.200000	2.909677	3385.200000	1.314348	3385.200000
3	 44 	 18.881853	3385.400000	8.715546	3385.400000	28.484099	3385.400000	4.934415	3385.400000
3	 45 	 18.084663	3681.000000	7.888901	3681.000000	8.704978	3681.000000	2.628585	3681.000000
3	 46 	 13.538247	3676.800000	7.311731	3676.800000	5.745061	3676.800000	3.576112	3676.800000
3	 47 	 12.441106	3589.800000	6.819732	3589.800000	4.097706	3589.800000	1.901061	3589.800000
3	 48 	 20.814913	3691.200000	8.804864	3691.200000	10.157559	3691.200000	4.280527	3691.200000
3	 49 	 14.719414	3979.800000	6.950355	3979.800000	7.746990	3979.800000	3.691645	3979.800000
3	 50 	 33.025523	3988.800000	9.242442	3988.800000	26.877229	3988.800000	4.686915	3988.800000
3	 5 	 0.071004	448.000000	0.058635	448.000000	0.017124	448.000000	0.015175	448.000000
3	 6 	 0.105705	359.600000	0.078191	359.600000	0.032741	359.600000	0.027927	359.600000
3	 7 	 0.183737	464.200000	0.147379	464.200000	0.075624	464.200000	0.069332	464.200000
3	 8 	 0.192250	661.400000	0.157445	661.400000	0.031399	661.400000	0.030176	661.400000
3	 9 	 0.214800	572.000000	0.151739	572.000000	0.061218	572.000000	0.055272	572.000000
3	 10 	 0.343127	671.600000	0.260522	671.600000	0.225222	671.600000	0.151340	671.600000
3	 11 	 0.389532	768.800000	0.295106	768.800000	0.116808	768.800000	0.105649	768.800000
3	 12 	 0.636809	867.600000	0.444686	867.600000	0.178280	867.600000	0.145440	867.600000
3	 13 	 0.528118	971.600000	0.387716	971.600000	0.125507	971.600000	0.110453	971.600000
3	 14 	 0.676271	968.400000	0.472956	968.400000	0.264669	968.400000	0.222527	968.400000
3	 15 	 0.517696	1168.200000	0.339485	1168.200000	0.141201	1168.200000	0.096703	1168.200000
3	 16 	 0.911641	1080.000000	0.611734	1080.000000	0.310625	1080.000000	0.218731	1080.000000
3	 17 	 0.737047	1278.400000	0.519988	1278.400000	0.266832	1278.400000	0.195780	1278.400000
3	 18 	 0.947829	1179.200000	0.677851	1179.200000	0.264754	1179.200000	0.250101	1179.200000
3	 19 	 0.885898	1581.800000	0.604056	1581.800000	0.216516	1581.800000	0.155527	1581.800000
3	 20 	 1.339120	1668.200000	0.904938	1668.200000	0.193608	1668.200000	0.158433	1668.200000
3	 21 	 1.557954	1480.000000	1.046828	1480.000000	0.503999	1480.000000	0.379692	1480.000000
3	 22 	 1.171323	1875.600000	0.785415	1875.600000	0.102935	1875.600000	0.095652	1875.600000
3	 23 	 1.915873	1780.600000	1.170857	1780.600000	0.682405	1780.600000	0.467265	1780.600000
3	 24 	 1.669750	1682.400000	1.224087	1682.400000	0.628873	1682.400000	0.512579	1682.400000
3	 25 	 1.979542	1880.800000	1.225102	1880.800000	0.768326	1880.800000	0.485146	1880.800000
3	 26 	 1.969249	2175.800000	1.291238	2175.800000	0.363308	2175.800000	0.274055	2175.800000
3	 27 	 2.655353	2179.600000	1.663424	2179.600000	0.697756	2179.600000	0.449648	2179.600000
3	 28 	 4.384971	2078.200000	2.609346	2078.200000	2.678851	2078.200000	1.276043	2078.200000
3	 29 	 3.221094	2288.400000	1.977980	2288.400000	1.719246	2288.400000	0.727476	2288.400000
3	 30 	 6.733890	2279.200000	3.386017	2279.200000	3.600911	2279.200000	1.610395	2279.200000
3	 31 	 7.947543	2280.400000	4.019683	2280.400000	5.137613	2280.400000	1.887594	2280.400000
3	 32 	 4.315384	2577.400000	2.447269	2577.400000	1.454045	2577.400000	1.098287	2577.400000
3	 33 	 3.247694	2577.400000	2.332651	2577.400000	1.464471	2577.400000	0.986712	2577.400000
3	 34 	 5.261009	2782.200000	2.721140	2782.200000	1.999087	2782.200000	1.011087	2782.200000
3	 35 	 9.273025	2483.600000	3.990094	2483.600000	4.642820	2483.600000	2.073575	2483.600000
3	 36 	 4.214314	2883.200000	2.348138	2883.200000	1.160339	2883.200000	0.726417	2883.200000
3	 37 	 9.621512	2881.200000	4.436638	2881.200000	4.401605	2881.200000	1.915707	2881.200000
3	 38 	 4.758704	2786.600000	3.081543	2786.600000	0.740669	2786.600000	0.600304	2786.600000
3	 39 	 6.090864	3278.800000	3.432891	3278.800000	1.857474	3278.800000	1.209162	3278.800000
3	 40 	 7.373449	3084.200000	4.109878	3084.200000	1.625053	3084.200000	0.978648	3084.200000
3	 41 	 9.223764	3182.000000	5.188501	3182.000000	4.655970	3182.000000	1.474922	3182.000000
3	 42 	 5.101764	3381.400000	3.054692	3381.400000	1.298474	3381.400000	0.835417	3381.400000
3	 43 	 12.081249	3290.200000	6.080799	3290.200000	4.767114	3290.200000	2.492287	3290.200000
3	 44 	 28.836295	3286.000000	6.244647	3286.000000	20.038789	3286.000000	2.513575	3286.000000
3	 45 	 6.672885	3884.200000	3.642041	3884.200000	1.079898	3884.200000	0.738946	3884.200000
3	 46 	 9.713169	3881.600000	5.571551	3881.600000	3.225523	3881.600000	1.838527	3881.600000
3	 47 	 17.984160	3884.800000	6.102933	3884.800000	6.450961	3884.800000	2.128529	3884.800000
3	 48 	 22.392206	3885.600000	8.011101	3885.600000	11.938440	3885.600000	3.511620	3885.600000
3	 49 	 8.549725	3884.200000	5.438335	3884.200000	3.917167	3884.200000	1.661648	3884.200000
3	 5 	 0.436288	194.600000	0.615430	194.600000	0.395737	194.600000	0.776457	194.600000
3	 6 	 0.379255	178.600000	0.477780	178.600000	0.148276	178.600000	0.612295	178.600000
3	 7 	 1.318227	104.800000	1.441807	104.800000	1.335033	104.800000	1.705847	104.800000
3	 8 	 1.248821	101.400000	1.273664	101.400000	0.565859	101.400000	1.035603	101.400000
3	 9 	 1.283712	300.800000	1.261915	300.800000	1.292958	300.800000	1.691766	300.800000
3	 10 	 1.304737	392.600000	1.589041	392.600000	0.681000	392.600000	1.257347	392.600000
6	 5 	 1.316931	129.800000	1.241668	129.800000	1.314596	129.800000	1.228632	129.800000
6	 6 	 1.524444	133.400000	1.424762	133.400000	0.742217	133.400000	0.660218	133.400000
